text
ブームの去った食べ物はダサいみたいな風潮あるけど、マリトッツォはブームに限らず普通に販売してほしい。普通に今まで食べた中でもトップレベルに美味しいよ、、
#復活してほしいもの マリトッツォ 大好きだったのに…
シュークリームとかマリトッツォとかのスイーツ系でもいいな。クリームダラダラ垂らして欲しいのだ
マリトッツォブームは去ったけど、セブンのどら焼マリトッツォは常駐してほしい
マリトッツォの中身カスタードにしてほしい
流行るなら食べやすい(物理)のにしてほしい。マリトッツォは食べにくい。マカロンは食べやすい。
どらやきマリトッツォだけ復活してほしい🥺
マリトッツォのパンの部分が好きじゃないんだよなー、、デニッシュにして欲しい
下のマリトッツォ、前まで売ってたマスカルポーネ味の方がうまかったから再販してほしい
この前見かけたピスタチオのマリトッツォ、生クリームに16割ピスタチオつけてるだけだったから、そうじゃなくてわたしはクリームもピスタチオにして欲しい！て思いながら買わなかった。自分で作る〜٩(๑`^´๑)۶
